,State,Data Element,Date,Value,Frequency,Region,Description
0,District of Columbia,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
1,Delaware,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
2,Florida,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
3,Georgia,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
4,Maryland,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
5,North Carolina,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
6,South Carolina,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
7,Virginia,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
8,West Virginia,Consumer Price Index,2019-01-01,1.5,Monthly,South Atlantic,Consumer Price Index
9,District of Columbia,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
10,Delaware,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
11,Florida,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
12,Georgia,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
13,Maryland,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
14,North Carolina,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
15,South Carolina,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
16,Virginia,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
17,West Virginia,Consumer Price Index,2019-02-01,1.5,Monthly,South Atlantic,Consumer Price Index
18,District of Columbia,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
19,Delaware,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
20,Florida,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
21,Georgia,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
22,Maryland,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
23,North Carolina,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
24,South Carolina,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
25,Virginia,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
26,West Virginia,Consumer Price Index,2019-03-01,2.0,Monthly,South Atlantic,Consumer Price Index
27,District of Columbia,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
28,Delaware,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
29,Florida,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
30,Georgia,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
31,Maryland,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
32,North Carolina,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
33,South Carolina,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
34,Virginia,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
35,West Virginia,Consumer Price Index,2019-04-01,2.3,Monthly,South Atlantic,Consumer Price Index
36,District of Columbia,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
37,Delaware,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
38,Florida,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
39,Georgia,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
40,Maryland,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
41,North Carolina,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
42,South Carolina,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
43,Virginia,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
44,West Virginia,Consumer Price Index,2019-05-01,1.9,Monthly,South Atlantic,Consumer Price Index
45,District of Columbia,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
46,Delaware,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
47,Florida,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
48,Georgia,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
49,Maryland,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
50,North Carolina,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
51,South Carolina,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
52,Virginia,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
53,West Virginia,Consumer Price Index,2019-06-01,1.6,Monthly,South Atlantic,Consumer Price Index
54,District of Columbia,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
55,Delaware,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
56,Florida,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
57,Georgia,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
58,Maryland,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
59,North Carolina,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
60,South Carolina,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
61,Virginia,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
62,West Virginia,Consumer Price Index,2019-07-01,1.9,Monthly,South Atlantic,Consumer Price Index
63,District of Columbia,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
64,Delaware,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
65,Florida,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
66,Georgia,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
67,Maryland,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
68,North Carolina,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
69,South Carolina,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
70,Virginia,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
71,West Virginia,Consumer Price Index,2019-08-01,1.8,Monthly,South Atlantic,Consumer Price Index
72,District of Columbia,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
73,Delaware,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
74,Florida,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
