State,Data Element,Date,Value,Frequency,Region,Description
Alabama,Consumer Price Index,2018-01-01,4.5,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-02-01,4.3,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-03-01,4.1,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-04-01,3.5,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-05-01,3.5,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-06-01,4.6,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-07-01,4.2,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-08-01,4.1,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-09-01,3.7,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-10-01,3.7,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-11-01,3.3,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2018-12-01,3.5,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-01-01,4.3,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-02-01,3.8,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-03-01,3.5,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-04-01,2.7,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-05-01,2.6,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-06-01,3.3,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-07-01,3.2,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-08-01,3.0,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-09-01,2.6,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-10-01,2.6,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-11-01,2.4,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2019-12-01,2.4,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2020-01-01,3.1,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2020-02-01,2.8,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2020-03-01,2.8,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2020-04-01,12.7,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2020-05-01,7.6,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2020-06-01,8.0,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2020-07-01,7.9,Monthly,East South Central,Consumer Price Index
Alabama,Consumer Price Index,2020-08-01,7.3,Monthly,East South Central,Consumer Price Index
